emp_no,first_name,last_name,title,from_date,to_date
10138,Perry,Shimshoni,Senior Engineer,3/3/2001,1/1/9999
10150,Zhenbing,Perng,Engineer,11/16/1986,11/16/1995
10150,Zhenbing,Perng,Senior Engineer,11/16/1995,1/1/9999
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000,1/1/9999
10157,Nigel,Aloisi,Senior Engineer,12/10/1997,1/1/9999
10198,Pranav,Furedi,Engineer,8/31/1985,8/31/1993
10198,Pranav,Furedi,Senior Engineer,8/31/1993,1/1/9999
10215,Xiaobin,Duclos,Senior Staff,11/23/1991,1/1/9999
10224,Leon,Trogemann,Engineer,1/9/1988,1/9/1996
10224,Leon,Trogemann,Senior Engineer,1/9/1996,1/1/9999
10233,Lein,Vendrig,Senior Staff,4/28/2000,1/1/9999
10233,Lein,Vendrig,Staff,4/29/1994,4/28/2000
10258,Basil,Ishibashi,Assistant Engineer,5/17/1985,5/17/1991
10258,Basil,Ishibashi,Engineer,5/17/1991,5/16/1997
10258,Basil,Ishibashi,Senior Engineer,5/16/1997,1/1/9999
10272,Yishai,Cannane,Staff,10/23/1997,1/1/9999
10282,Hercules,Benzmuller,Assistant Engineer,5/2/1996,5/2/2001
10282,Hercules,Benzmuller,Engineer,5/2/2001,1/1/9999
10283,Kauko,Birjandi,Engineer,5/25/1988,5/26/1995
10283,Kauko,Birjandi,Senior Engineer,5/26/1995,1/1/9999
10326,Masali,Czap,Staff,9/2/1998,1/1/9999
10340,Djelloul,Laventhal,Senior Staff,3/30/1993,1/1/9999
10340,Djelloul,Laventhal,Staff,3/30/1988,3/30/1993
10347,Pradeep,Kaminger,Staff,2/20/1998,1/1/9999
10355,Satyanarayana,Cochrane,Staff,1/26/1996,1/1/9999
10356,Vasilis,Standera,Senior Staff,6/26/1995,1/1/9999
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985,1/1/9999
10372,Anneli,Frijda,Technique Leader,7/30/1985,1/1/9999
10387,Parto,Wrigley,Senior Staff,1/7/1999,1/1/9999
10387,Parto,Wrigley,Staff,1/7/1994,1/7/1999
10396,Sibyl,Rahier,Senior Engineer,1/11/1986,1/1/9999
10402,Volkmar,Ebeling,Technique Leader,1/2/1987,1/1/9999
10404,Prodip,Rosti,Engineer,8/28/1988,8/28/1996
10404,Prodip,Rosti,Senior Engineer,8/28/1996,1/1/9999
10426,Arunas,Luce,Technique Leader,7/6/1985,1/1/9999
10429,Martien,Improta,Senior Engineer,9/23/1988,1/1/9999
10432,Hisao,Tiemann,Senior Staff,8/12/1996,1/1/9999
10432,Hisao,Tiemann,Staff,8/13/1990,8/12/1996
10451,Bodh,Ranta,Assistant Engineer,3/12/1988,3/12/1993
10451,Bodh,Ranta,Engineer,3/12/1993,3/12/1998
10451,Bodh,Ranta,Senior Engineer,3/12/1998,1/1/9999
10453,Tsvetan,Matzel,Senior Staff,4/2/1993,1/1/9999
10453,Tsvetan,Matzel,Staff,4/2/1985,4/2/1993
10463,Ung,Zaiane,Staff,2/17/1994,1/1/9999
10486,Amstein,Kossowski,Engineer,10/8/1987,10/7/1996
10486,Amstein,Kossowski,Senior Engineer,10/7/1996,1/1/9999
10494,Yakkov,Servieres,Engineer,12/18/1991,12/17/2000
10494,Yakkov,Servieres,Senior Engineer,12/17/2000,1/1/9999
10504,Xiong,Varker,Staff,10/19/1999,1/1/9999
10512,Udi,Gihr,Senior Staff,11/28/1998,1/1/9999
10512,Udi,Gihr,Staff,11/28/1989,11/28/1998
10522,Marke,Cesareni,Senior Staff,12/12/1995,1/1/9999
10522,Marke,Cesareni,Staff,12/12/1986,12/12/1995
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993,1/1/9999
10548,Ramalingam,Gunderson,Staff,7/4/1986,7/4/1993
10564,Jianhao,Thisen,Engineer,11/23/1995,11/22/2000
10564,Jianhao,Thisen,Senior Engineer,11/22/2000,1/1/9999
10623,Aleksander,Danlos,Engineer,1/15/1992,1/15/1999
10623,Aleksander,Danlos,Senior Engineer,1/15/1999,1/1/9999
10628,Krisda,Krogh,Assistant Engineer,3/14/1987,3/14/1994
10628,Krisda,Krogh,Engineer,3/14/1994,3/14/2001
10628,Krisda,Krogh,Senior Engineer,3/14/2001,1/1/9999
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994,1/1/9999
10642,Hirochika,Narlikar,Engineer,10/5/1998,1/1/9999
10653,Otmar,Feinberg,Senior Engineer,4/30/1987,1/1/9999
10671,Parviz,Rebaine,Senior Staff,9/13/2001,1/1/9999
10671,Parviz,Rebaine,Staff,9/14/1995,9/13/2001
10676,Valeri,Danley,Engineer,9/4/1999,1/1/9999
10693,Berhard,Daescu,Senior Staff,1/8/1991,1/1/9999
10693,Berhard,Daescu,Staff,1/8/1986,1/8/1991
10702,Bader,Szemeredi,Senior Engineer,1/14/1991,1/1/9999
10718,Adib,Rullman,Engineer,7/21/1988,7/21/1997
10718,Adib,Rullman,Senior Engineer,7/21/1997,1/1/9999
10726,Zita,Minakawa,Engineer,2/25/1992,2/24/2001
10726,Zita,Minakawa,Senior Engineer,2/24/2001,1/1/9999
10734,Sachar,Erdi,Engineer,12/19/1995,1/1/9999
10745,Poorav,Ranze,Engineer,1/23/1988,1/22/1997
10745,Poorav,Ranze,Senior Engineer,1/22/1997,1/1/9999
10749,King,Brendel,Engineer,9/26/1985,9/26/1990
10749,King,Brendel,Senior Engineer,9/26/1990,1/1/9999
10767,Monique,Doering,Staff,7/15/1997,1/1/9999
10768,Ishfaq,Candan,Engineer,7/4/1985,7/4/1990
10768,Ishfaq,Candan,Senior Engineer,7/4/1990,1/1/9999
10778,Selwyn,Merey,Senior Staff,7/4/1986,1/1/9999
10791,Tadahiko,Sgarro,Engineer,7/30/1988,7/31/1995
10791,Tadahiko,Sgarro,Senior Engineer,7/31/1995,1/1/9999
10795,Supot,Naudin,Senior Staff,5/3/1999,1/1/9999
10795,Supot,Naudin,Staff,5/3/1993,5/3/1999
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987,1/1/9999
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995,1/1/9999
10836,Jianhua,Leivant,Senior Staff,8/10/1987,1/1/9999
10844,Dipayan,Koprowski,Engineer,4/25/1997,1/1/9999
10847,Theirry,Danley,Senior Staff,7/24/1992,1/1/9999
10847,Theirry,Danley,Staff,7/25/1986,7/24/1992
10848,Fen,Bratsberg,Engineer,4/20/1985,4/20/1992
10848,Fen,Bratsberg,Senior Engineer,4/20/1992,1/1/9999
10878,Lakshmi,Deville,Staff,4/25/1997,1/1/9999
10879,Muzhong,Chleq,Senior Engineer,8/15/1985,1/1/9999
10883,Shimshon,Champarnaud,Engineer,12/28/1996,1/1/9999
10909,Georgi,Atchley,Engineer,12/26/1993,12/26/2000
10909,Georgi,Atchley,Senior Engineer,12/26/2000,1/1/9999
10921,Mara,Bahi,Engineer,7/27/1986,7/27/1995
10921,Mara,Bahi,Senior Engineer,7/27/1995,1/1/9999
10924,Hironoby,Atchley,Senior Staff,8/14/1997,1/1/9999
10924,Hironoby,Atchley,Staff,8/14/1988,8/14/1997
10927,Gal,Scallan,Senior Staff,9/12/1993,1/1/9999
10927,Gal,Scallan,Staff,9/12/1986,9/12/1993
10936,Mountaz,Schicker,Senior Staff,5/8/1996,1/1/9999
10936,Mountaz,Schicker,Staff,5/9/1990,5/8/1996
10943,Berna,Skafidas,Engineer,5/22/1993,5/22/1999
10943,Berna,Skafidas,Senior Engineer,5/22/1999,1/1/9999
10965,Eckart,Braunschweig,Senior Staff,7/29/1986,1/1/9999
10969,Premal,Noriega,Senior Engineer,5/12/1994,1/1/9999
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999,1/1/9999
10986,Masako,Schiper,Technique Leader,10/11/1985,1/1/9999
10988,Chinya,Deyuan,Senior Engineer,6/19/1985,1/1/9999
10989,Sumali,Candan,Senior Staff,7/20/1991,1/1/9999
10989,Sumali,Candan,Staff,7/20/1985,7/20/1991
10990,Shin,Foote,Technique Leader,8/6/1990,1/1/9999
11009,Alper,Axelband,Senior Staff,9/9/1993,1/1/9999
11009,Alper,Axelband,Staff,9/9/1986,9/9/1993
11012,Taegyun,Speckmann,Staff,7/6/1996,1/1/9999
11019,Leon,Huttel,Engineer,5/24/1992,5/24/1997
11019,Leon,Huttel,Senior Engineer,5/24/1997,1/1/9999
11021,Srinidhi,Henders,Staff,2/2/1998,1/1/9999
11027,Remzi,Cappello,Assistant Engineer,5/7/1986,5/7/1991
11027,Remzi,Cappello,Engineer,5/7/1991,5/6/1996
11027,Remzi,Cappello,Senior Engineer,5/6/1996,1/1/9999
11031,Ottavia,Walstra,Senior Staff,10/24/1993,1/1/9999
11031,Ottavia,Walstra,Staff,10/24/1985,10/24/1993
11037,Lansing,Maliniak,Engineer,1/28/1988,1/28/1995
11037,Lansing,Maliniak,Senior Engineer,1/28/1995,1/1/9999
11038,Jinya,Beidas,Senior Staff,7/15/1992,1/1/9999
11038,Jinya,Beidas,Staff,7/15/1985,7/15/1992
11042,Gou,Breugel,Engineer,6/21/1993,6/21/2000
11042,Gou,Breugel,Senior Engineer,6/21/2000,1/1/9999
11048,Jaques,Demke,Senior Staff,5/27/1999,1/1/9999
11050,Elvis,Katiyar,Senior Staff,5/6/1991,1/1/9999
11050,Elvis,Katiyar,Staff,5/6/1986,5/6/1991
11051,Przemyslawa,Erol,Engineer,3/27/1991,3/26/2000
11051,Przemyslawa,Erol,Senior Engineer,3/26/2000,1/1/9999
11070,Adib,Raney,Engineer,7/24/1985,7/24/1991
11070,Adib,Raney,Senior Engineer,7/24/1991,1/1/9999
11081,Barry,Boyle,Senior Staff,6/17/1994,1/1/9999
11081,Barry,Boyle,Staff,6/17/1985,6/17/1994
11085,Hailing,Thummel,Senior Engineer,2/10/1996,1/1/9999
11100,Berna,Cochrane,Senior Staff,10/13/1993,1/1/9999
11100,Berna,Cochrane,Staff,10/13/1986,10/13/1993
11106,Aris,Iwayama,Assistant Engineer,8/31/1985,8/31/1991
11106,Aris,Iwayama,Engineer,8/31/1991,8/30/1997
11106,Aris,Iwayama,Senior Engineer,8/30/1997,1/1/9999
11112,Boaz,Mukaidono,Staff,4/28/1995,1/1/9999
11113,Shahab,Peng,Senior Staff,11/30/1991,1/1/9999
11113,Shahab,Peng,Staff,11/30/1985,11/30/1991
11121,Vugranam,Kakkad,Engineer,10/31/1992,11/1/1999
11121,Vugranam,Kakkad,Senior Engineer,11/1/1999,1/1/9999
11133,Nalini,Azulay,Technique Leader,3/6/1994,1/1/9999
11134,Sachar,Rajcani,Engineer,5/19/1993,5/19/2002
11134,Sachar,Rajcani,Senior Engineer,5/19/2002,1/1/9999
11137,Hugh,Luca,Engineer,3/16/1995,1/1/9999
11139,Bogdan,Homond,Senior Staff,5/11/1995,1/1/9999
11139,Bogdan,Homond,Staff,5/11/1990,5/11/1995
11146,Ishfaq,Masand,Senior Staff,8/21/1997,1/1/9999
11146,Ishfaq,Masand,Staff,8/22/1991,8/21/1997
11148,Zhanqiu,Botman,Senior Staff,2/8/1997,1/1/9999
11148,Zhanqiu,Botman,Staff,2/8/1990,2/8/1997
11162,Kauko,Narlikar,Engineer,3/28/1985,3/28/1990
11162,Kauko,Narlikar,Senior Engineer,3/28/1990,1/1/9999
11180,Mitsuyuki,Bojadziev,Engineer,6/11/1986,6/10/1992
11180,Mitsuyuki,Bojadziev,Senior Engineer,6/10/1992,1/1/9999
11197,Tadahiro,Fordan,Senior Staff,9/12/1989,1/1/9999
11204,Diederik,Covnot,Technique Leader,9/18/1985,1/1/9999
11207,Saeed,Gips,Engineer,1/31/1999,1/1/9999
11208,Saniya,Valtorta,Technique Leader,11/17/1994,1/1/9999
11211,Yurij,Rissland,Senior Engineer,9/17/1985,1/1/9999
11217,Kellie,Mawatari,Senior Engineer,3/11/1990,1/1/9999
11232,Hidefumi,Crelier,Senior Staff,8/1/2000,1/1/9999
11232,Hidefumi,Crelier,Staff,8/2/1994,8/1/2000
11240,Kiam,Condotta,Assistant Engineer,1/6/1989,1/6/1997
11240,Kiam,Condotta,Engineer,1/6/1997,1/1/9999
11249,Randi,Cyre,Assistant Engineer,9/22/1986,9/22/1994
11249,Randi,Cyre,Engineer,9/22/1994,1/1/9999
11251,Bezalel,Chinal,Senior Staff,6/15/1993,1/1/9999
11251,Bezalel,Chinal,Staff,6/15/1986,6/15/1993
11268,Aimee,Petersohn,Engineer,10/25/1987,10/25/1995
11268,Aimee,Petersohn,Senior Engineer,10/25/1995,1/1/9999
11275,Hitomi,Eppinger,Engineer,4/25/1989,4/25/1998
11275,Hitomi,Eppinger,Senior Engineer,4/25/1998,1/1/9999
11290,Visit,Dredge,Engineer,5/13/1999,1/1/9999
11295,Abdelkader,Lanzelotte,Senior Staff,5/15/1990,1/1/9999
11295,Abdelkader,Lanzelotte,Staff,5/15/1985,5/15/1990
11319,Pranas,Marrakchi,Assistant Engineer,11/1/1998,1/1/9999
11320,Atilio,McAlpine,Senior Staff,4/6/1998,1/1/9999
11320,Atilio,McAlpine,Staff,4/6/1990,4/6/1998
11322,Nathalie,Pocchiola,Assistant Engineer,7/7/1985,7/7/1992
11322,Nathalie,Pocchiola,Engineer,7/7/1992,7/8/1999
11322,Nathalie,Pocchiola,Senior Engineer,7/8/1999,1/1/9999
11324,Kauko,Billingsley,Senior Engineer,8/29/1985,1/1/9999
11338,Kwangsub,Hanratty,Senior Staff,10/28/1998,1/1/9999
11339,Flemming,Massonet,Senior Engineer,12/19/1989,1/1/9999
11347,Anneli,Jonsson,Engineer,4/20/1986,4/19/1992
11347,Anneli,Jonsson,Senior Engineer,4/19/1992,1/1/9999
11365,Toshimi,Shinomoto,Engineer,12/18/1997,1/1/9999
11376,Valery,Suomi,Senior Staff,3/14/1994,1/1/9999
11376,Valery,Suomi,Staff,3/14/1986,3/14/1994
11380,Kenroku,Pelc,Assistant Engineer,4/19/1991,4/18/1996
11380,Kenroku,Pelc,Engineer,4/18/1996,4/18/2001
11380,Kenroku,Pelc,Senior Engineer,4/18/2001,1/1/9999
11385,Shiv,Ullian,Engineer,8/8/1999,1/1/9999
11386,Alselm,Assaf,Engineer,11/30/1987,11/29/1993
11386,Alselm,Assaf,Senior Engineer,11/29/1993,1/1/9999
11393,Junsik,Junot,Engineer,4/30/1985,4/30/1992
11393,Junsik,Junot,Senior Engineer,4/30/1992,1/1/9999
11398,Oscar,Peir,Senior Staff,9/7/2001,1/1/9999
11398,Oscar,Peir,Staff,9/7/1994,9/7/2001
11404,Bedrich,Borovoy,Technique Leader,9/25/1990,1/1/9999
11415,Sanjiv,Anido,Engineer,12/7/1996,1/1/9999
11421,Josyula,Msuda,Engineer,9/2/1986,9/2/1995
11421,Josyula,Msuda,Senior Engineer,9/2/1995,1/1/9999
11441,Marlo,Aingworth,Senior Staff,3/27/1987,1/1/9999
11449,Kotesh,Asser,Engineer,2/3/1995,2/3/2000
11449,Kotesh,Asser,Senior Engineer,2/3/2000,1/1/9999
11459,Duke,Suomi,Senior Staff,5/2/1992,1/1/9999
11459,Duke,Suomi,Staff,5/3/1986,5/2/1992
11469,Guttorm,Giaccio,Engineer,9/8/1994,9/8/1999
11469,Guttorm,Giaccio,Senior Engineer,9/8/1999,1/1/9999
11506,Rance,Picel,Staff,4/8/1996,1/1/9999
11509,Aleksander,Feldhoffer,Engineer,11/12/1987,11/11/1992
11509,Aleksander,Feldhoffer,Senior Engineer,11/11/1992,1/1/9999
11513,Otmar,Mahnke,Senior Staff,8/25/1998,1/1/9999
11513,Otmar,Mahnke,Staff,8/25/1992,8/25/1998
11515,Ulf,Basawa,Staff,9/21/1998,1/1/9999
11518,Jinxi,Oxman,Senior Staff,9/22/1999,1/1/9999
11518,Jinxi,Oxman,Staff,9/22/1994,9/22/1999
11524,Xiadong,Standera,Senior Engineer,7/5/1996,1/1/9999
11527,Alagu,Boyle,Staff,1/28/1999,1/1/9999
11528,Zito,Dolinsky,Technique Leader,6/15/1987,1/1/9999
11537,DAIDA,Pehl,Senior Staff,7/6/1986,1/1/9999
11554,Subhash,Taubenfeld,Staff,7/15/1998,1/1/9999
11555,Kotesh,Perfilyeva,Senior Staff,10/14/1991,1/1/9999
11555,Kotesh,Perfilyeva,Staff,10/14/1986,10/14/1991
11567,Teiji,Mitzlaff,Senior Staff,2/3/1996,1/1/9999
11567,Teiji,Mitzlaff,Staff,2/3/1988,2/3/1996
11568,Martins,Fujisaki,Engineer,3/13/1992,3/13/2000
11568,Martins,Fujisaki,Senior Engineer,3/13/2000,1/1/9999
11603,Herb,Swen,Senior Staff,4/13/1994,1/1/9999
11603,Herb,Swen,Staff,4/13/1985,4/13/1994
11607,Tomokazu,Foong,Engineer,4/19/1995,1/1/9999
11615,Shem,Isaak,Senior Staff,8/28/2000,1/1/9999
11615,Shem,Isaak,Staff,8/29/1991,8/28/2000
11624,Adil,Gammage,Engineer,7/15/1989,7/15/1996
11624,Adil,Gammage,Senior Engineer,7/15/1996,1/1/9999
11628,Fan,Malinowski,Engineer,10/23/1988,10/23/1997
11628,Fan,Malinowski,Senior Engineer,10/23/1997,1/1/9999
11640,Valeri,Coorg,Senior Engineer,9/26/1988,1/1/9999
11647,Magy,Nitsche,Engineer,5/11/1988,5/11/1993
11647,Magy,Nitsche,Senior Engineer,5/11/1993,1/1/9999
11660,Gill,Stenning,Senior Staff,11/22/1994,1/1/9999
11660,Gill,Stenning,Staff,11/22/1986,11/22/1994
11673,Henk,Felder,Technique Leader,6/10/1989,1/1/9999
11676,Valeri,Ferriere,Engineer,7/15/1998,1/1/9999
11681,Fumitake,Benzmuller,Engineer,8/27/1988,8/28/1995
11681,Fumitake,Benzmuller,Senior Engineer,8/28/1995,1/1/9999
11684,Oksana,Gide,Senior Staff,2/21/1995,1/1/9999
11684,Oksana,Gide,Staff,2/21/1986,2/21/1995
11696,Dante,Rothe,Senior Staff,10/23/1994,1/1/9999
11696,Dante,Rothe,Staff,10/23/1985,10/23/1994
11732,Sanjoy,Ranft,Senior Engineer,12/22/1996,1/1/9999
11735,Amalendu,Picci,Senior Staff,7/14/1997,1/1/9999
11735,Amalendu,Picci,Staff,7/14/1988,7/14/1997
11746,Koichi,Marrakchi,Senior Staff,11/18/1995,1/1/9999
11746,Koichi,Marrakchi,Staff,11/17/1988,11/18/1995
11751,Jiafu,Emiris,Senior Staff,11/3/1993,1/1/9999
11751,Jiafu,Emiris,Staff,11/3/1988,11/3/1993
11764,Sanjay,Anick,Engineer,12/16/1991,12/15/1996
11764,Sanjay,Anick,Senior Engineer,12/15/1996,1/1/9999
11769,Chandrasekaran,Lampe,Senior Staff,10/22/2001,1/1/9999
11769,Chandrasekaran,Lampe,Staff,10/22/1993,10/22/2001
11772,Gaurav,Penz,Engineer,11/7/1999,1/1/9999
11797,Chenxi,Thambidurai,Senior Staff,8/30/1996,1/1/9999
11797,Chenxi,Thambidurai,Staff,8/30/1988,8/30/1996
11810,Amabile,Bhattacharjee,Senior Engineer,1/5/1992,1/1/9999
11817,Niranjan,Markovitch,Senior Staff,4/12/1993,1/1/9999
11817,Niranjan,Markovitch,Staff,4/12/1986,4/12/1993
11832,Arto,Zlotek,Engineer,2/4/1996,1/1/9999
11844,Shawna,Demeyer,Engineer,1/27/1988,1/27/1995
11844,Shawna,Demeyer,Senior Engineer,1/27/1995,1/1/9999
11853,Zeljko,Kusakabe,Senior Staff,11/17/1996,1/1/9999
11853,Zeljko,Kusakabe,Staff,11/17/1988,11/17/1996
11857,Divier,Farrag,Senior Staff,8/27/1986,1/1/9999
11864,Pradeep,Kriebel,Staff,11/2/1995,1/1/9999
11871,Nalini,Sommen,Engineer,10/13/1993,10/13/1998
11871,Nalini,Sommen,Senior Engineer,10/13/1998,1/1/9999
11872,Cheong,Riexinger,Senior Staff,2/12/2002,1/1/9999
11872,Cheong,Riexinger,Staff,2/12/1994,2/12/2002
11894,Mitchel,Validov,Senior Engineer,6/22/1988,1/1/9999
11897,Cordelia,Setlzner,Senior Staff,6/16/1997,1/1/9999
11897,Cordelia,Setlzner,Staff,6/16/1988,6/16/1997
11906,Hideo,Boguraev,Engineer,2/7/1999,1/1/9999
11915,Miomir,Mawatari,Engineer,6/28/1992,6/28/2001
11915,Miomir,Mawatari,Senior Engineer,6/28/2001,1/1/9999
11931,Gunilla,Chiodo,Senior Staff,1/13/2000,1/1/9999
11931,Gunilla,Chiodo,Staff,1/13/1991,1/13/2000
11933,Basil,Erman,Engineer,6/13/1987,6/12/1992
11933,Basil,Erman,Senior Engineer,6/12/1992,1/1/9999
11949,Martijn,Harbusch,Technique Leader,3/11/1985,1/1/9999
11983,Jaana,Hedayat,Engineer,10/11/1986,10/11/1994
11983,Jaana,Hedayat,Senior Engineer,10/11/1994,1/1/9999
11993,Marit,Dalphin,Senior Staff,10/22/1996,1/1/9999
12011,Zhilian,Coorg,Senior Staff,7/22/1997,1/1/9999
12011,Zhilian,Coorg,Staff,7/22/1988,7/22/1997
12036,Mads,Ratzlaff,Senior Staff,9/5/1995,1/1/9999
12036,Mads,Ratzlaff,Staff,9/5/1986,9/5/1995
12037,Arunas,Katzenelson,Senior Staff,9/30/1992,1/1/9999
12037,Arunas,Katzenelson,Staff,10/1/1986,9/30/1992
12050,Yuchang,Tchuente,Assistant Engineer,4/1/1989,4/1/1996
12050,Yuchang,Tchuente,Engineer,4/1/1996,1/1/9999
12062,Margareta,Worfolk,Senior Staff,1/4/1996,1/1/9999
12069,Ayonca,Burnard,Assistant Engineer,5/13/1985,5/13/1990
12069,Ayonca,Burnard,Engineer,5/13/1990,5/13/1995
12069,Ayonca,Burnard,Senior Engineer,5/13/1995,1/1/9999
12070,Ger,Shokrollahi,Technique Leader,11/14/1988,1/1/9999
12076,Karlis,Siprelle,Senior Staff,3/25/1985,1/1/9999
12082,Xinan,Yamaashi,Senior Staff,1/29/1992,1/1/9999
12082,Xinan,Yamaashi,Staff,1/29/1986,1/29/1992
12089,Bilhanan,Socorro,Senior Staff,10/22/1994,1/1/9999
12089,Bilhanan,Socorro,Staff,10/22/1986,10/22/1994
12099,Nobuyoshi,Kuzuoka,Senior Staff,2/15/1999,1/1/9999
12099,Nobuyoshi,Kuzuoka,Staff,2/15/1994,2/15/1999
12112,Satyanarayana,Avouris,Senior Staff,9/26/1997,1/1/9999
12112,Satyanarayana,Avouris,Staff,9/26/1989,9/26/1997
12122,Satoru,Krone,Engineer,7/24/1987,7/23/1992
12122,Satoru,Krone,Senior Engineer,7/23/1992,1/1/9999
12123,Xiahua,Syrzycki,Senior Staff,7/18/1994,1/1/9999
12123,Xiahua,Syrzycki,Staff,7/18/1987,7/18/1994
12125,Shounak,Erman,Engineer,3/31/1997,1/1/9999
12149,Suebskul,Grandbois,Senior Staff,10/1/1988,1/1/9999
12159,Shem,Perly,Senior Engineer,7/17/1985,1/1/9999
12165,Xiaobin,Maquelin,Senior Engineer,8/29/1994,1/1/9999
12183,Harngdar,Iisaku,Engineer,4/4/1998,1/1/9999
12192,Feiyu,Klyachko,Engineer,9/2/1986,9/2/1991
12192,Feiyu,Klyachko,Senior Engineer,9/2/1991,1/1/9999
12205,Sushant,Rossi,Senior Engineer,11/11/1987,1/1/9999
12206,Barton,Janetzko,Assistant Engineer,3/27/1985,3/27/1993
12206,Barton,Janetzko,Engineer,3/27/1993,3/27/2001
12206,Barton,Janetzko,Senior Engineer,3/27/2001,1/1/9999
12218,Yaghout,Strooper,Engineer,3/12/1991,3/11/2000
12218,Yaghout,Strooper,Senior Engineer,3/11/2000,1/1/9999
12221,Vincent,Melter,Engineer,9/16/1985,9/16/1991
12221,Vincent,Melter,Senior Engineer,9/16/1991,1/1/9999
12222,Abdelwaheb,Holburn,Senior Staff,8/14/1996,1/1/9999
12222,Abdelwaheb,Holburn,Staff,8/15/1987,8/14/1996
12223,Niteen,Koyama,Engineer,8/13/1986,8/13/1995
12223,Niteen,Koyama,Senior Engineer,8/13/1995,1/1/9999
12247,Subbu,Penttonen,Technique Leader,4/9/1985,1/1/9999
12249,Eldridge,Sadowski,Engineer,6/21/1987,6/20/1996
12249,Eldridge,Sadowski,Senior Engineer,6/20/1996,1/1/9999
12256,Guadalupe,Reghbati,Senior Staff,8/26/1992,1/1/9999
12256,Guadalupe,Reghbati,Staff,8/26/1985,8/26/1992
12264,Mart,Pagter,Engineer,1/9/1998,1/1/9999
12270,Shakhar,Kornyak,Senior Staff,8/19/1996,1/1/9999
12270,Shakhar,Kornyak,Staff,8/19/1989,8/19/1996
12272,Behnaam,Grandbois,Senior Staff,12/7/1992,1/1/9999
12272,Behnaam,Grandbois,Staff,12/8/1987,12/7/1992
12308,Mototsugu,Cronau,Senior Staff,8/11/1991,1/1/9999
12308,Mototsugu,Cronau,Staff,8/11/1985,8/11/1991
12311,Susanne,Lubachevsky,Senior Engineer,10/22/1985,1/1/9999
12327,DAIDA,Bruckman,Engineer,10/16/1986,10/15/1992
12327,DAIDA,Bruckman,Senior Engineer,10/15/1992,1/1/9999
12341,Rasiah,Luga,Engineer,5/25/1985,5/25/1990
12341,Rasiah,Luga,Senior Engineer,5/25/1990,1/1/9999
12343,Sorina,Slaats,Senior Staff,8/25/1997,1/1/9999
12343,Sorina,Slaats,Staff,8/25/1988,8/25/1997
12365,Kamakshi,Bisiani,Engineer,9/12/1988,9/12/1994
12365,Kamakshi,Bisiani,Senior Engineer,9/12/1994,1/1/9999
12373,Mooi,Driscoll,Senior Staff,11/11/1993,1/1/9999
